;document_id;courier_id;year;record_number;pages;catalogue_title;authors;filename;document_name;n_raw_tokens
48;48;73683;1948;380002;[1, 8];Amazon meeting opens in Peru April 30th;;1948_073683_380002.txt;1948_073683_380002;948
49;49;73683;1948;380003;[6];Work of Unesco important to Latin American countries;;1948_073683_380003.txt;1948_073683_380003;448
50;50;73713;1948;73714;[1, 2];Huxley defines press freedom at Geneva Conference;Huxley, Julian;1948_073713_73714.txt;1948_073713_73714;1486
51;51;73713;1948;73715;[1];Educational programme to be extended to Germany;;1948_073713_73715.txt;1948_073713_73715;316
52;52;73713;1948;73717;[2];UNESCO and the work of the United Nations;Laves, Walter Herman Carl;1948_073713_73717.txt;1948_073713_73717;1626
53;53;73713;1948;73718;[3];The Arab cultural heritage;;1948_073713_73718.txt;1948_073713_73718;1201
54;54;73713;1948;73719;[3];Director-General tours Middle East;;1948_073713_73719.txt;1948_073713_73719;221
55;55;73713;1948;73720;[3];Lebanon preparing site for Beirut Conference;;1948_073713_73720.txt;1948_073713_73720;625
56;56;73713;1948;73721;[4];Highlights of Haitian Project;;1948_073713_73721.txt;1948_073713_73721;280
57;57;73713;1948;73722;[4];Anthropologists report on fundamental education;Métraux, Alfred;1948_073713_73722.txt;1948_073713_73722;1699
58;58;73713;1948;73724;[4, 5];Rural schooling poses problems for Haitians;Gabriel, Emmanuel;1948_073713_73724.txt;1948_073713_73724;707
59;59;73713;1948;73725;[5];Noted film expert sees challenge in Africa;Grierson, John;1948_073713_73725.txt;1948_073713_73725;1624
60;60;73713;1948;73726;[5];Highlights of African project;;1948_073713_73726.txt;1948_073713_73726;285
61;61;73713;1948;73727;[6];A Modern necessity: popular science;Michelsen, Borge;1948_073713_73727.txt;1948_073713_73727;933
62;62;73713;1948;73728;[6];Science abstract experts to meet in Paris;;1948_073713_73728.txt;1948_073713_73728;202
63;63;73713;1948;73729;[6];World film catalogue issued;;1948_073713_73729.txt;1948_073713_73729;131
64;64;73713;1948;73730;[6];Dr. Needham recalled to Cambridge;;1948_073713_73730.txt;1948_073713_73730;447
65;65;73713;1948;73732;[6];UNESCO aids work of scientific institutions;;1948_073713_73732.txt;1948_073713_73732;824
66;66;73713;1948;73733;[7];UNESCO to use music as weapon for peace;Azevedo, Luiz Heitor Correa de;1948_073713_73733.txt;1948_073713_73733;878
67;67;73713;1948;73734;[7];Up the Amazon with a French explorer;Flornoy, Bertrand;1948_073713_73734.txt;1948_073713_73734;893
68;68;73713;1948;73735;[7];I.C.S.U. scientist on joint mission to Latin America;;1948_073713_73735.txt;1948_073713_73735;155
69;69;73713;1948;73736;[7];Hylean Amazon Conference to open at Iquitos, Peru;;1948_073713_73736.txt;1948_073713_73736;166
70;70;73713;1948;73737;[8];UNESCO surveys university problems;;1948_073713_73737.txt;1948_073713_73737;746
71;71;73713;1948;380004;[1, 7];Unesco outlines views at U.N. meetings on free information;;1948_073713_380004.txt;1948_073713_380004;805
72;72;73741;1948;73739;[2];W.F.U.N.A.;Vliet, W. van;1948_073741_73739.txt;1948_073741_73739;521
73;73;73741;1948;73743;[1, 6];Dr. Beeby arrives to take up post;;1948_073741_73743.txt;1948_073741_73743;329
74;74;73741;1948;73744;[1, 7];Fundamental education battle: panel of experts maps strategy;;1948_073741_73744.txt;1948_073741_73744;1030
75;75;73741;1948;73746;[1];Iquitos Meeting prepares Hylean Amazon Institute;;1948_073741_73746.txt;1948_073741_73746;286
76;76;73741;1948;73749;[2];At Pestalozzi Village war orphans are learning to smile again;;1948_073741_73749.txt;1948_073741_73749;866
77;77;73741;1948;73751;[2];Technical needs surveys proceeding on three continents;;1948_073741_73751.txt;1948_073741_73751;376
78;78;73741;1948;73752;[2];The U.N. Appeal for Children;Drzewieski, Bernard;1948_073741_73752.txt;1948_073741_73752;514
79;79;73741;1948;73754;[3];The International Theatre Institute: a preview;Priestley, J.B.;1948_073741_73754.txt;1948_073741_73754;1021
80;80;73741;1948;73755;[3];I.T.I. Conference to open in Prague on June 28;;1948_073741_73755.txt;1948_073741_73755;366
81;81;73741;1948;73756;[3];Eight countries form national theatre centres;;1948_073741_73756.txt;1948_073741_73756;134
82;82;73741;1948;73757;[7];Philosopher calls for new humanism;Bosch-Gimpera, Pedro;1948_073741_73757.txt;1948_073741_73757;606
83;83;73741;1948;73759;[3];UNESCO begins photo survey of war-hit nations;;1948_073741_73759.txt;1948_073741_73759;186
84;84;73741;1948;73761;[4];Sèvres: birth of the UNESCO Seminar;;1948_073741_73761.txt;1948_073741_73761;927
85;85;73741;1948;73762;[4];Prague: childhood education;;1948_073741_73762.txt;1948_073741_73762;645
86;86;73741;1948;73763;[4];A World citizen;Kenworthy, Leonard Stout;1948_073741_73763.txt;1948_073741_73763;394
87;87;73741;1948;73765;[4, 5];Caracas: educational problems in South America;;1948_073741_73765.txt;1948_073741_73765;375
88;88;73741;1948;73766;[5];Lake Success: teaching about the U.N. and its agencies;;1948_073741_73766.txt;1948_073741_73766;529
89;89;73741;1948;73767;[5];London: the education and training of teachers;;1948_073741_73767.txt;1948_073741_73767;735
90;90;73741;1948;73768;[6];The Story of science cooperation offices;;1948_073741_73768.txt;1948_073741_73768;1428
91;91;73741;1948;73769;[6];Specialists urge coordination of scientific abstracting services;;1948_073741_73769.txt;1948_073741_73769;899
92;92;73741;1948;73771;[7];Use of mass media poses serious problem in fundamental education areas;;1948_073741_73771.txt;1948_073741_73771;1002
93;93;73741;1948;73772;[8];UNESCO outlines research needs in communication techniques;;1948_073741_73772.txt;1948_073741_73772;1397
94;94;73741;1948;380005;[1];3,000 U.S. delegates to meet this month at UNESCO regional conference;;1948_073741_380005.txt;1948_073741_380005;262
95;95;73774;1948;73776;[1, 3];UNESCO sets programme for classics translation;Barnes, H.M.;1948_073774_73776.txt;1948_073774_73776;426
96;96;73774;1948;73778;[2];Tensions affecting international understanding;Cantril, Hadley;1948_073774_73778.txt;1948_073774_73778;1112
97;97;73774;1948;73779;[3];Copyright expert views conflicting national laws;Hepp, François;1948_073774_73779.txt;1948_073774_73779;1152
98;98;73774;1948;73780;[3];Low-priced books: a neglected medium of mass communication;;1948_073774_73780.txt;1948_073774_73780;782
99;99;73774;1948;73782;[4];Students learn of UN in UNESCO Member States;;1948_073774_73782.txt;1948_073774_73782;873
100;100;73774;1948;73783;[4, 5];Teaching about the United Nations: some suggestions and recommendations;;1948_073774_73783.txt;1948_073774_73783;1004
101;101;73774;1948;73784;[6];Some blunt words from critic Read;Read, Sir Herbert;1948_073774_73784.txt;1948_073774_73784;807
102;102;73774;1948;73785;[6];The Role France in the I.T.I.;Salacrou, Armand;1948_073774_73785.txt;1948_073774_73785;684
103;103;73774;1948;73786;[1, 6];UNESCO friendship train asked at San Francisco;;1948_073774_73786.txt;1948_073774_73786;549
104;104;73774;1948;73787;[7];Two vital studies on UNESCO policy: coordinating the U.N. family;Laves, Walter Herman Carl;1948_073774_73787.txt;1948_073774_73787;1351
105;105;73774;1948;73788;[7, 8];An Opinion on UNESCO's role in political meetings;Maheu, René;1948_073774_73788.txt;1948_073774_73788;1554
106;106;73774;1948;73789;[8];International work camps;Sviggum, Ingertha;1948_073774_73789.txt;1948_073774_73789;951
107;107;73774;1948;74502;[1, 2];Work-plan for Germany prepared by Secretariat;;1948_073774_74502.txt;1948_073774_74502;497
108;108;73774;1948;380006;[1, 2];Hylean Amazon Institute Created;;1948_073774_380006.txt;1948_073774_380006;784
109;109;73774;1948;380007;[4, 5];UN to be seminar theme at Adelphi college;;1948_073774_380007.txt;1948_073774_380007;863
110;110;73790;1948;73073;[1];Child experts meet at Pestalozzi village;;1948_073790_73073.txt;1948_073790_73073;262
111;111;73790;1948;73075;[1];U.S. educational aid exceeds eighty million dollars;;1948_073790_73075.txt;1948_073790_73075;232
112;112;73790;1948;73791;[1, 6];Educators study school reforms;;1948_073790_73791.txt;1948_073790_73791;860
113;113;73790;1948;73793;[2];Technical needs workers report on findings;Soupault, Philippe|Shaw, Alexander|Artigue, Pierre;1948_073790_73793.txt;1948_073790_73793;801
114;114;73790;1948;73795;[2];Reconstruction problem in Southeast Asia;Trevelyan, Mary;1948_073790_73795.txt;1948_073790_73795;847
115;115;73790;1948;73796;[3];Social scientists issue joint statement on world tensions;;1948_073790_73796.txt;1948_073790_73796;1308
116;116;73790;1948;73797;[3];A Report on Tensions Meeting, as a psychiatrist saw it;Rickman, John;1948_073790_73797.txt;1948_073790_73797;1108
117;117;73790;1948;73800;[4, 5];1948 working programme set for Amazon Institute;Malina, Frank J.;1948_073790_73800.txt;1948_073790_73800;1408
118;118;73790;1948;73801;[4, 5];What is UNESCO's role in scientific research?;;1948_073790_73801.txt;1948_073790_73801;653
119;119;73790;1948;73802;[5];Social studies planned of Amazon peoples;Wagley, Charles;1948_073790_73802.txt;1948_073790_73802;641
120;120;73790;1948;73803;[6];I.T.I.: a liaison centre for theatres the world over;Kurtz, Maurice;1948_073790_73803.txt;1948_073790_73803;650
121;121;73790;1948;73804;[7];Close links traced between early Greek/Syrian cultures;Leroy, J.;1948_073790_73804.txt;1948_073790_73804;1121
122;122;73790;1948;73805;[7, 8];Dr. Cheng describes close cooperation between China and UNESCO;;1948_073790_73805.txt;1948_073790_73805;729
123;123;73790;1948;73806;[7];Some historic elements of Persian painting as a world influence;Oskoui, Akbar M.;1948_073790_73806.txt;1948_073790_73806;1003
124;124;73790;1948;73807;[8];The Story of the United Nations Radio;;1948_073790_73807.txt;1948_073790_73807;1174
125;125;73790;1948;74503;[1, 3];Museum directors gather at first World Conference;;1948_073790_74503.txt;1948_073790_74503;480
126;126;73790;1948;380008;[1, 6];International theater institute formed in Prague;;1948_073790_380008.txt;1948_073790_380008;864
127;127;73809;1948;73810;[1, 2];Executive Board hears UNESCO progress report;;1948_073809_73810.txt;1948_073809_73810;778
128;128;73809;1948;73811;[1, 2];New international agency to help war orphans;;1948_073809_73811.txt;1948_073809_73811;712
129;129;73809;1948;73812;[1, 2];University leaders meet at Utrecht Conference;;1948_073809_73812.txt;1948_073809_73812;710
130;130;73809;1948;73813;[2];New international agency;Rivolta, Antonio;1948_073809_73813.txt;1948_073809_73813;694
131;131;73809;1948;73814;[3];UNESCO's role in science, a catalysis for progress;Auger, Pierre;1948_073809_73814.txt;1948_073809_73814;1225
132;132;73809;1948;73816;[4];Ideas Group formed to spur production;;1948_073809_73816.txt;1948_073809_73816;934
133;133;73809;1948;73817;[4];Mass Media Projects Division to dramatize world cooperation;;1948_073809_73817.txt;1948_073809_73817;716
134;134;73809;1948;73818;[4];Need for teamwork to be stressed;;1948_073809_73818.txt;1948_073809_73818;546
135;135;73809;1948;73819;[5];Press, film, radio to be mobilized for peace;;1948_073809_73819.txt;1948_073809_73819;1355
136;136;73809;1948;73820;[5];Technical Needs Commission studies field reports;;1948_073809_73820.txt;1948_073809_73820;607
137;137;73809;1948;73821;[6];Exchange of persons programme vital to mutual understanding;Carter, William D.;1948_073809_73821.txt;1948_073809_73821;1134
138;138;73809;1948;73822;[6];Behind the world programme, another view of UNESCO;;1948_073809_73822.txt;1948_073809_73822;607
139;139;73809;1948;73823;[7];UNESCO National Commissions make programme effective;;1948_073809_73823.txt;1948_073809_73823;843
140;140;73809;1948;73824;[7];U.S.A: 5 regional meetings;;1948_073809_73824.txt;1948_073809_73824;562
141;141;73809;1948;73826;[7];Philippine group links people with UNESCO;Alzona, Encarnacion;1948_073809_73826.txt;1948_073809_73826;611
142;142;73809;1948;73827;[8];Distinguished world thinkers study bases of human rights;Havet, Jacques;1948_073809_73827.txt;1948_073809_73827;896
143;143;73809;1948;73828;[8];World music catalogue to list best reproductions;Azevedo, Luiz Heitor Correa de;1948_073809_73828.txt;1948_073809_73828;477
144;144;73809;1948;74504;[3];Pacific Science Congress given UNESCO grant;;1948_073809_74504.txt;1948_073809_74504;348
145;145;73809;1948;74505;[3];Emergency Credits Plan studied;;1948_073809_74505.txt;1948_073809_74505;414
146;146;73809;1948;380009;[1, 6];Key educators at four seminars: Study teaching for a world society;;1948_073809_380009.txt;1948_073809_380009;855
147;147;73829;1948;73830;[1, 6];University problems viewed at Utrecht Congress;;1948_073829_73830.txt;1948_073829_73830;1111
148;148;73829;1948;73832;[1, 7];Scientists create World Mental Health Federation;;1948_073829_73832.txt;1948_073829_73832;843
149;149;73829;1948;73833;[2];Stix Pix Biz Nix;Voskovec, George;1948_073829_73833.txt;1948_073829_73833;934
150;150;73829;1948;73834;[2, 8];Book Coupon Scheme experiment under way;Zuckerman, J.;1948_073829_73834.txt;1948_073829_73834;1036
151;151;73829;1948;73835;[3, 6];Orient - Occident cultural co-operation stressed;Lin Yutang;1948_073829_73835.txt;1948_073829_73835;1192
152;152;73829;1948;73836;[3, 6];Pragmatic viewpoints on human rights;;1948_073829_73836.txt;1948_073829_73836;1074
153;153;73829;1948;73837;[4];Educators study UN for classroom teaching;;1948_073829_73837.txt;1948_073829_73837;611
154;154;73829;1948;73838;[4];World body strives to lower news barriers;;1948_073829_73838.txt;1948_073829_73838;788
155;155;73829;1948;73839;[4, 5];UNESCO-UN: teamwork embraces five continents;Laves, Walter Herman Carl;1948_073829_73839.txt;1948_073829_73839;951
156;156;73829;1948;73840;[5];Human rights;;1948_073829_73840.txt;1948_073829_73840;704
157;157;73829;1948;73841;[5];Cameramen tell story of world social problems;;1948_073829_73841.txt;1948_073829_73841;650
158;158;73829;1948;73842;[4, 5];Agencies stress role of travel fellowships;;1948_073829_73842.txt;1948_073829_73842;322
159;159;73829;1948;73843;[6];Art treasures to be put within reach of all;;1948_073829_73843.txt;1948_073829_73843;736
160;160;73829;1948;73844;[6];School for librarians opens in England;;1948_073829_73844.txt;1948_073829_73844;298
161;161;73829;1948;73845;[7];Education in colonies poses UNESCO problem;Cortesao, Armando;1948_073829_73845.txt;1948_073829_73845;946
162;162;73829;1948;73846;[7];All China's children do not smile;;1948_073829_73846.txt;1948_073829_73846;446
163;163;73829;1948;73847;[8];Brazil sets up Folklore Institute;;1948_073829_73847.txt;1948_073829_73847;373
164;164;73829;1948;73848;[8];Is Amazon legend just a myth?;Tavares Bastos, Antonio Dias;1948_073829_73848.txt;1948_073829_73848;357
165;165;73829;1948;73849;[8];UNESCO plans assistance for Latin American scientists;;1948_073829_73849.txt;1948_073829_73849;400
166;166;73829;1948;380010;[1];Unesco conference holds special session;;1948_073829_380010.txt;1948_073829_380010;497
167;167;73850;1948;73851;[1, 6];Scientists at Fontainebleau study nature preservation;;1948_073850_73851.txt;1948_073850_73851;711
168;168;73850;1948;73852;[1, 6];Latin Americans coordinate scientific work;;1948_073850_73852.txt;1948_073850_73852;758
169;169;73850;1948;73853;[2, 6];Brussels Meeting extends Copyright Convention;Hepp, François;1948_073850_73853.txt;1948_073850_73853;515
170;170;73850;1948;73854;[2];Literary pool links world cultural reviews;Cabrini, Gabrielle;1948_073850_73854.txt;1948_073850_73854;1192
171;171;73850;1948;73855;[3];Tiny Lebanon offers great cultural wealth;Aboussouan, Camille;1948_073850_73855.txt;1948_073850_73855;957
172;172;73850;1948;73856;[3];Iran extends its educational programme;Maleki, A.H.;1948_073850_73856.txt;1948_073850_73856;680
173;173;73850;1948;73857;[4];UNESCO sums up 1947-1948: press, radio, film needs;Desjardins, Philippe;1948_073850_73857.txt;1948_073850_73857;750
174;174;73850;1948;73858;[4];More newsprint urged by Press Commission;;1948_073850_73858.txt;1948_073850_73858;631
175;175;73850;1948;73859;[4, 5];Cheaper films wanted for educational aims;;1948_073850_73859.txt;1948_073850_73859;411
176;176;73850;1948;73860;[5];Survey shows radio deficiencies;;1948_073850_73860.txt;1948_073850_73860;843
177;177;73850;1948;73861;[5];Mass schooling, technical training stressed by radio experts;;1948_073850_73861.txt;1948_073850_73861;754
178;178;73850;1948;73862;[6];Forty agreements signed with non-governmental bodies;Hercik, V.;1948_073850_73862.txt;1948_073850_73862;693
179;179;73850;1948;73863;[7];Improvement of textbooks sought in Member States;Quillen, James I.;1948_073850_73863.txt;1948_073850_73863;749
180;180;73850;1948;73864;[7];Ruth Benedict's last message on... cultural continuity in civilized world;Benedict, Ruth;1948_073850_73864.txt;1948_073850_73864;1231
181;181;73850;1948;73865;[8];"One in the eye! Exhibits ""bring home"" UNESCO message";Williams, W.E.;1948_073850_73865.txt;1948_073850_73865;514
182;182;73850;1948;73866;[8];An Educational weapon: the museum;Hamlin, Chauncey J.;1948_073850_73866.txt;1948_073850_73866;552
183;183;73850;1948;380011;[1, 2];Beirut prepares to receive Unesco conference;;1948_073850_380011.txt;1948_073850_380011;1034
184;184;73867;1948;73868;[1, 6];Dr. Huxley's suggestions for... the advance of world civilization;Huxley, Julian;1948_073867_73868.txt;1948_073867_73868;3095
185;185;73867;1948;73870;[1, 7];MacArthur accepts UNESCO programme in Japan;;1948_073867_73870.txt;1948_073867_73870;522
186;186;73867;1948;73871;[2];Middle East Cultural Liaison Office proposed;Azam, Victor;1948_073867_73871.txt;1948_073867_73871;777
187;187;73867;1948;73872;[3, 7];"Spotlight on Arab thought: Taha Hussein calls UNESCO ""common man-elite link""";Hussein, Taha;1948_073867_73872.txt;1948_073867_73872;1520
188;188;73867;1948;73873;[3, 7];A Philosopher looks at Arab literature among world classics;Elfandi, S.;1948_073867_73873.txt;1948_073867_73873;1130
189;189;73867;1948;73875;[4];Educational, scientific and cultural reconstruction;;1948_073867_73875.txt;1948_073867_73875;861
190;190;73867;1948;73876;[4];Natural sciences;;1948_073867_73876.txt;1948_073867_73876;487
191;191;73867;1948;73877;[4, 5];Emphasis on education clearing-house function;;1948_073867_73877.txt;1948_073867_73877;724
192;192;73867;1948;73878;[5];Achievements in the social sciences;;1948_073867_73878.txt;1948_073867_73878;367
193;193;73867;1948;73879;[5];Mass communications;;1948_073867_73879.txt;1948_073867_73879;433
194;194;73867;1948;73880;[5];Echanges culturels : arts - lettres - philosophie;;1948_073867_73880.txt;1948_073867_73880;630
195;195;73867;1948;73881;[7];"U.S. Commission studies ""UNESCO in a divided world""";;1948_073867_73881.txt;1948_073867_73881;486
196;196;73867;1948;73882;[7];The Place of women in UNESCO: an Indian view;Kaur, Rajkumari Amrit;1948_073867_73882.txt;1948_073867_73882;926
197;197;73867;1948;73883;[8];Conditions of intellectual activity in the Arab world: a Lebanese speaks out;Malik, Charles;1948_073867_73883.txt;1948_073867_73883;1395
198;198;73867;1948;380012;[1, 2];Conference opens in Lebanon November 17th;;1948_073867_380012.txt;1948_073867_380012;776
199;199;73867;1948;380013;[1, 2];What the delegates will discuss in Beirut;;1948_073867_380013.txt;1948_073867_380013;510
200;200;73886;1949;73887;[1];Human Rights Day urged by UNESCO Head;;1949_073886_73887.txt;1949_073886_73887;491
201;201;73886;1949;73888;[1];Duty-free film agreement up for world ratification;;1949_073886_73888.txt;1949_073886_73888;193
202;202;73886;1949;73889;[2];"Education: a doctrine for peace; story of Torres Bodet's life";;1949_073886_73889.txt;1949_073886_73889;1723
203;203;73886;1949;73890;[2];Appeal to world press;;1949_073886_73890.txt;1949_073886_73890;379
204;204;73886;1949;73891;[3];Food and people: UNESCO issues challenge to society and science;Bronowski, Jacob;1949_073886_73891.txt;1949_073886_73891;999
205;205;73886;1949;73892;[3];Weekly radio review to start February 19;;1949_073886_73892.txt;1949_073886_73892;870
206;206;73886;1949;73893;[4];We must raise the moral and intellectual conditions of the masses;Torres Bodet, Jaime;1949_073886_73893.txt;1949_073886_73893;1542
207;207;73886;1949;73894;[4, 5, 8];A Dual duty for UNESCO and its Members: Huxley's parting words, a call to all nations for self-inquiry;;1949_073886_73894.txt;1949_073886_73894;3657
208;208;73886;1949;73896;[6];Noted Indian thinker heads Executive Board;;1949_073886_73896.txt;1949_073886_73896;1068
209;209;73886;1949;73897;[6];New book currency now in circulation;;1949_073886_73897.txt;1949_073886_73897;456
210;210;73886;1949;73898;[7];Study abroad: over 10,500 awards in fellowship handbook;;1949_073886_73898.txt;1949_073886_73898;383
211;211;73886;1949;73899;[7];National groups end first world meeting;;1949_073886_73899.txt;1949_073886_73899;819
212;212;73886;1949;73900;[7];Education missions leaving for Philippines, Afghanistan;;1949_073886_73900.txt;1949_073886_73900;553
213;213;73886;1949;73901;[7];Experts make plans to assist intellectual and M.E. refugees;;1949_073886_73901.txt;1949_073886_73901;255
214;214;73886;1949;73902;[10];On the threshold of 1949: the new UNESCO programme;;1949_073886_73902.txt;1949_073886_73902;642
215;215;73886;1949;73904;[10];Reconstructing the damages of war;;1949_073886_73904.txt;1949_073886_73904;1470
216;216;73886;1949;73905;[11];A Broad educational programme for people of all ages;;1949_073886_73905.txt;1949_073886_73905;1786
217;217;73886;1949;73906;[12, 13];The Natural, the social sciences;;1949_073886_73906.txt;1949_073886_73906;2595
218;218;73886;1949;73907;[13];Cultural activity: philosophy and humanistic studies;;1949_073886_73907.txt;1949_073886_73907;977
219;219;73886;1949;73908;[12, 13];The UNESCO budget for 1949;;1949_073886_73908.txt;1949_073886_73908;494
220;220;73886;1949;73909;[14];Cultural interchange between countries;;1949_073886_73909.txt;1949_073886_73909;1558
221;221;73886;1949;73910;[14];UNESCO's fellowship programme;;1949_073886_73910.txt;1949_073886_73910;662
222;222;73886;1949;262402;[1, 8];Jaime Torres Bodet elected Director-General;;1949_073886_262402.txt;1949_073886_262402;1194
223;223;73912;1949;73913;[2];The Need for professional training of journalists;Desmond, Robert William;1949_073912_73913.txt;1949_073912_73913;762
224;224;73912;1949;73915;[2];Problems of UNESCO;;1949_073912_73915.txt;1949_073912_73915;1177
225;225;73912;1949;73916;[2];UNESCO official decries press 'scandal' reports;Laves, Walter Herman Carl;1949_073912_73916.txt;1949_073912_73916;221
226;226;73912;1949;73917;[3, 11];Schuman, Bidault welcome Torres Bodet at French National Commission;;1949_073912_73917.txt;1949_073912_73917;936
